Timestep,a_0,a_1,b
2,-81.45055897490671,-38.27387989252667,1.3573517859369577e11
2,-86.07624466172518,-40.61314178913223,1.3575592633786554e11
2,-86.92631865662835,-41.93799679378831,1.3576376782947826e11
2,-86.97013715303743,-42.730797084885545,1.3576726416364728e11
2,-87.00000000000007,-41.0870350691797,1.3576261997674487e11
2,-82.2135881101036,-40.239722176054684,1.3574775672096419e11
2,-86.99999992637245,-36.0719192181561,1.3574286677151633e11
3,-150.0,-150.0,1.1033000221064052e11
3,0.0,0.0,1.0485419033343306e11
3,-84.59300312947346,0.0,1.2537806713373262e11
3,-102.67012216756358,-127.10317940652563,1.2590585552989737e11
3,0.0,0.0,1.3130719893729675e11
3,-87.0000000000001,-76.35704306966903,1.3165648490947789e11
3,-87.0000000000001,-121.15846314511069,1.3225411646196722e11
3,-87.0000000000001,-58.655038664629274,1.3201582254796016e11
3,0.0,-26.756547362507554,1.3269795097567044e11
3,-87.0000000000001,-26.756547362507558,1.3307555530332095e11
3,0.0,-26.756547362507554,1.3285081714169705e11
3,-84.39549732659644,-33.362152149357506,1.3328363419450592e11
3,-87.0000000000001,-26.970678380895734,1.3332707281759021e11
3,-87.0000000000001,-26.970678380895738,1.3332707281759027e11
3,-57.617845089210554,-38.291433889137,1.333045784710148e11
3,-87.0000000000001,-50.45396518557934,1.3345046467311334e11
3,-30.682592829211494,-23.774055893818055,1.3340069993200291e11
3,-87.0000000000001,-23.77405589381805,1.3357883189284386e11
3,-55.04163869084207,-23.846431986420843,1.335005676584747e11
3,-69.4090667450184,-23.845256573279855,1.3354407031744168e11
3,-78.6707034168329,-50.924815242954814,1.3366760893567374e11
3,-87.0000000000001,-61.39512632142185,1.3371454140671257e11
3,-59.312143193376116,-30.791289486139256,1.3369870816032193e11
3,-87.00000000000009,-30.791289486139256,1.3377195348748853e11
3,-85.63199083263572,-30.791289486139256,1.3377033109960898e11
3,-87.0000000000001,-30.791289486139252,1.3377275062102527e11
3,-83.53121481220586,-30.791289486139252,1.3376752072285724e11
3,-86.8534358654442,-30.791289486139252,1.3377270931946927e11
3,-87.0000000000001,-30.791289486139252,1.3377402120931314e11
3,-81.81663906655484,-30.791289486139252,1.3376540180668979e11
3,-87.0000000000001,-30.791289486139252,1.3377445002116049e11
3,-84.23487532173166,-30.791289486139252,1.3377065901702084e11
3,-85.18841422378833,-30.79263565294764,1.3377240270012186e11
3,-86.99764065354816,-33.53672999176366,1.3378483395997137e11
3,-86.99764065354816,-34.035788497349735,1.3378648470481561e11
3,-86.67799775219498,-32.74099829074011,1.3378292869331915e11
3,-87.0000000000001,-37.16364861420074,1.3380921993539304e11
3,-66.39447754173987,-33.77225468372144,1.3374232365829185e11
3,-77.09548627804205,-34.465093914933696,1.3377759453946196e11
3,-70.42383369682122,-37.015200582402464,1.3377465149500476e11
3,-81.1461645847509,-34.22401193122432,1.3379570330616689e11
3,-87.0000000000001,-33.514384259325645,1.3380354400141914e11
3,-81.590663961776,-34.20597991183506,1.337971817953485e11
3,-83.19004073241904,-37.7891063382981,1.3381411303703658e11
3,-86.70187092094189,-38.39542010321988,1.3382148478318968e11
3,-87.0000000000001,-36.461326234615385,1.338167075323556e11
3,-85.53151565354324,-37.65435194891141,1.3381914776545595e11
3,-86.23097543626723,-36.253488176600854,1.338156272171058e11
3,-86.98347167205709,-40.46625750407291,1.3382993160621408e11
3,-87.0000000000001,-40.51077564280869,1.3383450819038007e11
3,-69.2536422223489,-43.828220755785814,1.3379560247556146e11
3,-74.9970582285502,-36.5089981042606,1.3379336571601205e11
3,-80.08353940070661,-37.189925301174526,1.3381142585196779e11
3,-82.38261777549772,-39.012939841175864,1.3382247808709206e11
3,-84.72151451615706,-40.76326650134129,1.3383434453939983e11
3,-86.92631865662833,-41.9379967937883,1.3384141577239526e11
3,-86.92633831082549,-42.730797084885545,1.3384449535155344e11
3,-86.99999991585412,-41.0870350691797,1.3384062759710797e11
3,-74.74463183721397,-38.91753277718118,1.3380808460337808e11
3,-86.99999992637238,-36.071919218156125,1.3382331242307724e11
4,-150.0,-150.0,1.0910544092561855e11
4,0.0,0.0,1.030760380359495e11
4,-63.43516884793205,0.0,1.2343232222898143e11
4,-102.67012216756358,-127.10317940652563,1.2399370670742134e11
4,-16.1588942249598,0.0,1.2946962012724226e11
4,-87.0000000000001,-71.69288738766684,1.2969956429558005e11
4,-87.00000000000009,-121.15846314511069,1.3032728290514651e11
