Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
25,2.3762485000000005e6,4.82630325285462e6,0.0,0.0,0.0,0.0
26,2.3766340000000005e6,4.820517439005058e6,0.0,0.0,0.0,0.0
27,2.3767970000000005e6,4.81423124350579e6,0.0,0.0,0.0,0.0
28,2.3769600000000005e6,4.807945048006522e6,0.0,0.0,0.0,0.0
29,2.3771225000000005e6,4.801807664893784e6,0.0,0.0,0.0,0.0
30,2.3772850000000005e6,4.795670281781045e6,0.0,0.0,0.0,0.0
31,2.3774905000000005e6,4.789632106925992e6,0.0,0.0,0.0,0.0
32,2.3776960000000005e6,4.783593932070941e6,0.0,0.0,0.0,0.0
33,2.3780780000000005e6,4.77816464789744e6,0.0,0.0,0.0,0.0
34,2.3784600000000005e6,4.772735363723939e6,0.0,0.0,0.0,0.0
35,2.3794585000000005e6,4.76719261010571e6,0.0,0.0,0.0,0.0
36,2.3804570000000005e6,4.76164985648748e6,0.0,0.0,0.0,0.0
37,2.3814790000000005e6,4.756133765088504e6,0.0,0.0,0.0,0.0
38,2.3825010000000005e6,4.750617673689527e6,0.0,0.0,0.0,0.0
39,2.3830230000000005e6,4.74522621266427e6,0.0,0.0,0.0,0.0
40,2.3835450000000005e6,4.739834751639012e6,0.0,0.0,0.0,0.0
41,2.3867090000000005e6,4.736526664025173e6,0.0,0.0,0.0,0.0
42,2.3898730000000005e6,4.733218576411334e6,0.0,0.0,0.0,0.0
43,2.38550766e6,4.733220944346175e6,0.0,0.0,0.0,0.0
44,2.3811423200000003e6,4.733223312281014e6,0.0,0.0,0.0,0.0
45,2.375165451717398e6,4.734214042483058e6,0.0,0.0,0.0,0.0
46,2.3691885834347964e6,4.7352047726851e6,0.0,0.0,0.0,0.0
47,2.3706680834347964e6,4.733986258998785e6,0.0,0.0,0.0,0.0
48,2.3721475834347964e6,4.73276774531247e6,0.0,0.0,0.0,0.0
49,2.3728165834347964e6,4.728125926684357e6,0.0,0.0,0.0,0.0
50,2.3734855834347964e6,4.7234841080562435e6,0.0,0.0,0.0,0.0
51,2.3739835834347964e6,4.717749138438746e6,0.0,0.0,0.0,0.0
52,2.3744815834347964e6,4.712014168821249e6,0.0,0.0,0.0,0.0
53,2.3757410834347964e6,4.706367246532449e6,0.0,0.0,0.0,0.0
54,2.3770005834347964e6,4.700720324243648e6,0.0,0.0,0.0,0.0
