Timestep,Import_FR_MW,Import_PT_MW
117,2800.0,-411.40652909399887
118,2800.0,-2700.3667847542492
119,2800.0,-2700.3667847542492
120,2800.0,-224.1999032622498
121,2800.0,-224.1999032622498
122,2800.0,393.82057173324756
123,2800.0,393.82057173324756
124,2800.0,-1189.4760349275075
125,2800.0,-1189.4760349275075
126,2800.0,50.346474303554714
127,2800.0,50.346474303554714
128,2800.0,940.8884498730004
129,2800.0,940.8884498730004
130,553.5865942269265,-4200.0
131,553.5865942269265,-4200.0
132,-2800.0,-4200.0
133,-2800.0,-4200.0
134,-2800.0,-4200.0
135,-2800.0,-4200.0
136,2800.0,-3108.2777009174997
137,2800.0,-3108.2777009174997
138,2800.0,-3569.3986498694994
139,2800.0,-3569.3986498694994
140,2800.0,-1785.1598787919997
141,2800.0,-1785.1598787919997
142,2800.0,1010.3965908482496
143,2800.0,1010.3965908482496
144,2800.0,-962.7045241130004
145,2800.0,-962.7045241130004
146,2800.0,-660.7620564724457
147,2800.0,-660.7620564724457
148,2139.1185469881148,-2316.413702004249
149,2139.1185469881148,-2316.413702004249
150,2800.0,-952.2373632307676
151,2800.0,-952.2373632307676
152,2800.0,-215.02873906674995
153,2800.0,-215.02873906674995
154,-982.1344797227521,-4135.647686859249
155,-982.1344797227521,-4135.647686859249
156,-2309.0482792907096,-4200.0
157,-2309.0482792907096,-4200.0
158,-700.3161724390466,-4200.0
159,-700.3161724390466,-4200.0
160,2800.0,-2736.7740854179992
161,2800.0,-2736.7740854179992
162,2800.0,-1365.2188320945002
163,2800.0,-1365.2188320945002
164,2800.0,-4146.245296104999
165,2800.0,-4146.245296104999
166,2800.0,-3614.8927651577487
167,2800.0,-3614.8927651577487
168,2800.0,-3458.423016819501
169,2800.0,-3458.423016819501
170,2800.0,-3284.0605731684996
171,2800.0,-3284.0605731684996
172,2800.0,-3242.4886533077497
173,2800.0,-3242.4886533077497
174,2800.0,-2184.19424834221
175,2800.0,-2184.19424834221
176,2800.0,-3161.2179188295004
177,2800.0,-3161.2179188295004
178,2800.0,-4200.0
179,2800.0,-4200.0
180,2800.0,-4200.0
181,2800.0,-4200.0
182,2800.0,-4200.0
183,2800.0,-4200.0
184,1428.0059393868196,-4200.0
185,1428.0059393868196,-4200.0
186,1886.117729915146,-2395.6147898667496
187,1886.117729915146,-2395.6147898667496
188,-2057.1838948185778,-4200.0
189,-2057.1838948185778,-4200.0
190,-2800.0,-1841.4307062847506
191,-2800.0,-1841.4307062847506
192,2800.0,404.30312434950065
193,2800.0,404.30312434950065
194,2800.0,-3742.35173907
195,2800.0,-3742.35173907
196,2800.0,-3114.7899605354996
197,2800.0,-3114.7899605354996
198,2800.0,-2991.32608645625
199,2800.0,-2991.32608645625
200,2800.0,-3281.1570977885
201,2800.0,-3281.1570977885
202,2800.0,-4200.0
