delivery_time,-12
0,247.10000000000002
1,247.00000000000003
2,246.70000000000005
3,246.50000000000003
4,246.50000000000003
5,246.60000000000002
6,322.0
7,868.7000000000011
8,4188.000000000001
9,10932.799999999994
10,15587.199999999997
11,17603.200000000015
12,18217.399999999998
13,18285.099999999962
14,18240.20000000002
15,17867.79999999999
16,16383.500000000007
17,12055.300000000025
18,5044.099999999998
19,1446.3000000000002
20,804.6999999999998
21,723.0999999999998
22,682.8
23,637.0999999999999
