delivery_time,-12
0,22077.300000000003
1,21788.900000000005
2,21727.800000000003
3,21661.900000000005
4,21699.800000000007
5,21989.9
6,23372.1
7,25161.200000000008
8,27294.30000000001
9,28243.199999999997
10,31089.199999999997
11,31681.500000000015
12,32469.000000000022
13,32504.40000000001
14,32199.500000000022
15,31713.800000000017
16,31425.699999999983
17,30457.699999999997
18,28521.900000000012
19,27922.099999999995
20,29034.90000000001
21,28744.3
22,26801.800000000007
23,25118.800000000007
