delivery_time,-12
0,27580.699999999997
1,26133.5
2,24580.300000000003
3,23261.0
4,22554.499999999996
5,22129.700000000004
6,22005.699999999997
7,21862.100000000006
8,23000.700000000008
9,28295.200000000015
10,31700.500000000025
11,32823.90000000001
12,34076.0
13,34784.100000000006
14,34978.80000000002
15,34603.399999999994
16,34213.500000000015
17,33486.299999999996
18,32736.099999999995
19,30750.799999999996
20,29502.899999999987
21,28800.60000000001
22,29346.2
23,28543.09999999999
