delivery_time,-12
0,12051.800000000007
1,11158.499999999996
2,10685.099999999993
3,10297.999999999995
4,10133.7
5,10167.300000000007
6,11726.399999999989
7,14044.700000000003
8,14724.000000000002
9,12827.599999999999
10,13052.9
11,13627.999999999996
12,13875.999999999996
13,13970.900000000001
14,13957.299999999997
15,13825.600000000008
16,13756.899999999998
17,13899.80000000001
18,13420.0
19,16741.300000000003
20,17334.59999999999
21,17343.2
22,15070.000000000007
23,14115.999999999995
